,BPP
Agkistrodon_piscivorus,0.00E+00
Bitis_gabonica,1.03E-01
Boiga_irregularis,0.00E+00
Bothriechis_lateralis,2.36E-01
Bothriechis_schlegelii,1.53E-01
Bothrops_alternatus,1.18E-01
Bothrops_asper,1.50E-01
Bothrops_atrox,7.10E-02
Bothrops_colombiensis,9.00E-03
Bothrops_insularis,1.58E-01
Bothrops_jararacussu,0.00E+00
Bothrops_jararaca,6.10E-02
Bothrops_neuwiedi,1.74E-01
Bungarus_multicinctus,0.00E+00
Cerrophidion_godmani,8.30E-02
Crotalus_adamanteus,7.00E-03
Crotalus_durissus,0.00E+00
Crotalus_horridus,5.10E-02
Crotalus_simus,1.34E-01
Drysdalia_coronoides,0.00E+00
Echis_carinatus,0.00E+00
Echis_coloratus,0.00E+00
Echis_ocellatus,1.60E-01
Echis_pyramidum,0.00E+00
Gloydius_intermedius,2.53E-01
Hypsiglena_torquata,0.00E+00
Micrurus_corallinus,0.00E+00
Micrurus_lemniscatus,0.00E+00
Micrurus_spixii,0.00E+00
Micrurus_surinamensis,0.00E+00
Micrurus_altirostris,0.00E+00
Micrurus_fulvius,0.00E+00
Naja_atra,0.00E+00
Naja_kaouthia,0.00E+00
Ovophis_okinavensis,0.00E+00
Pantherophis_guttatus,0.00E+00
Phalotris_mertensi,0.00E+00
Philodryas_olfersii,0.00E+00
Protobothrops_flavoviridis,0.00E+00
Sistrurus_catenatus,2.80E-03
Thamnodynastes_strigatus,0.00E+00
Opheodrys_aestivus,0.00E+00
Dispholidus_typus,0.00E+00
