SNAKE,LAAO
Agkistrodon_piscivorus,1.70E-02
Bitis_gabonica,1.80E-02
Boiga_irregularis,0.00E+00
Bothriechis_lateralis,3.40E-02
Bothriechis_schlegelii,3.20E-02
Bothrops_alternatus,1.80E-02
Bothrops_asper,4.20E-02
Bothrops_atrox,1.40E-02
Bothrops_colombiensis,2.00E-02
Bothrops_insularis,3.50E-02
Bothrops_jararacussu,1.00E-02
Bothrops_jararaca,5.00E-03
Bothrops_neuwiedi,1.20E-02
Bungarus_multicinctus,1.00E-03
Cerrophidion_godmani,5.50E-02
Crotalus_adamanteus,5.39E-02
Crotalus_durissus,0.00E+00
Crotalus_horridus,1.16E-02
Crotalus_simus,3.80E-02
Drysdalia_coronoides,0.00E+00
Echis_carinatus,2.00E-02
Echis_coloratus,2.00E-02
Echis_ocellatus,4.00E-03
Echis_pyramidum,2.00E-02
Gloydius_intermedius,1.31E-01
Hypsiglena_torquata,0.00E+00
Micrurus_corallinus,8.40E-03
Micrurus_lemniscatus,7.30E-03
Micrurus_spixii,0.00E+00
Micrurus_surinamensis,5.00E-03
Micrurus_altirostris,0.00E+00
Micrurus_fulvius,8.80E-03
Naja_atra,1.00E-03
Naja_kaouthia,2.00E-03
Ovophis_okinavensis,6.20E-03
Pantherophis_guttatus,0.00E+00
Phalotris_mertensi,2.30E-02
Philodryas_olfersii,0.00E+00
Protobothrops_flavoviridis,9.00E-02
Sistrurus_catenatus,3.61E-02
Thamnodynastes_strigatus,0.00E+00
Opheodrys_aestivus,0.00E+00
Dispholidus_typus,0.00E+00
