SNAKE,OHA
Agkistrodon_piscivorus,0.00E+00
Bitis_gabonica,0.00E+00
Boiga_irregularis,0.00E+00
Bothriechis_lateralis,3.30E-02
Bothriechis_schlegelii,1.16E-01
Bothrops_alternatus,0.00E+00
Bothrops_asper,2.80E-02
Bothrops_atrox,0.00E+00
Bothrops_colombiensis,0.00E+00
Bothrops_insularis,0.00E+00
Bothrops_jararacussu,0.00E+00
Bothrops_jararaca,0.00E+00
Bothrops_neuwiedi,1.50E-03
Bungarus_multicinctus,0.00E+00
Cerrophidion_godmani,2.00E-02
Crotalus_adamanteus,0.00E+00
Crotalus_durissus,0.00E+00
Crotalus_horridus,0.00E+00
Crotalus_simus,1.50E-01
Drysdalia_coronoides,0.00E+00
Echis_carinatus,0.00E+00
Echis_coloratus,0.00E+00
Echis_ocellatus,0.00E+00
Echis_pyramidum,0.00E+00
Gloydius_intermedius,0.00E+00
Hypsiglena_torquata,7.00E-03
Micrurus_corallinus,0.00E+00
Micrurus_lemniscatus,0.00E+00
Micrurus_spixii,0.00E+00
Micrurus_surinamensis,0.00E+00
Micrurus_altirostris,2.00E-03
Micrurus_fulvius,0.00E+00
Naja_atra,0.00E+00
Naja_kaouthia,9.00E-03
Ovophis_okinavensis,9.31E-01
Pantherophis_guttatus,0.00E+00
Phalotris_mertensi,2.70E-03
Philodryas_olfersii,0.00E+00
Protobothrops_flavoviridis,0.00E+00
Sistrurus_catenatus,0.00E+00
Thamnodynastes_strigatus,0.00E+00
Opheodrys_aestivus,0.00E+00
Dispholidus_typus,0.00E+00
