"","TFTx","BPP","CRISP","CTL","GF","OHA","LAAO","PLA2","SVMP","SVSP"
"TFTx",10.7768479280715,-7.09184046971273,-0.167895493553891,8.99972660303852,-4.88846375554034,-3.2621998424777,-11.7446158582605,18.6651024140841,2.33731728820981,-8.90123724305078
"BPP",-7.0918404697123,15.1493511627359,2.8415545331079,-9.28581503683956,6.17379419510431,1.77380682964324,0.0665405876242797,-18.3930686514772,4.56207116318308,-1.0718146893826
"CRISP",-0.167895493553165,2.84155453310754,10.2947565077828,-2.66281551438821,-3.68588185400627,-0.948350509932773,-3.93441056765421,-7.12644627985215,3.05133161596333,-5.12516423306131
"CTL",8.99972660303798,-9.28581503683964,-2.66281551438842,50.0347787321684,-19.7337241524062,-5.79484887645639,3.04844925551648,28.4221561911878,-0.260521117726867,-12.9617686550394
"GF",-4.88846375554001,6.17379419510528,-3.68588185400584,-19.7337241524093,59.5974445367084,4.96619324266007,4.67385138174358,-5.02667592229991,7.8661887046822,-13.2326866133284
"OHA",-3.26219984247786,1.77380682964352,-0.948350509932735,-5.79484887645713,4.96619324265997,3.77778013664782,2.21368079906348,-6.64633184598762,2.58378506492704,6.25696303799344
"LAAO",-11.7446158582624,0.0665405876252366,-3.93441056765326,3.04844925551315,4.67385138174639,2.21368079906406,44.0969859432412,-23.4269508926354,-13.4290650822185,0.726513060464431
"PLA2",18.6651024140824,-18.3930686514782,-7.12644627985427,28.4221561911859,-5.02667592229721,-6.64633184598716,-23.4269508926311,121.756131600719,-12.1497159819715,-12.8602170525114
"SVMP",2.33731728821035,4.5620711631836,3.05133161596353,-0.260521117726906,7.86618870468063,2.58378506492693,-13.4290650822182,-12.1497159819692,27.468102220952,-4.84382694210598
"SVSP",-8.90123724305113,-1.07181468938264,-5.12516423306058,-12.9617686550369,-13.2326866133311,6.2569630379928,0.726513060462992,-12.8602170525119,-4.84382694210671,56.4327698414655
