Component,Mean,Mode,lower,upper,CI
TFTx,0.003865711,0.002628528,0.001169288,0.007779399,
BPP,0.05917555,0.04724279,0.01925523,0.1086901,
CRISP,0.2583767,0.1691388,0.09172154,0.430061,
CTL,0.06244125,0.04113993,0.01758666,0.1165178,
GF,0.3143016,0.2981022,0.1793903,0.5272732,
OHA,0.01844763,0.01293006,0.005417646,0.0336969,
LAAO,0.3546668,0.3757558,0.1358239,0.5594768,
PLA2,0.009285174,0.005999727,0.003273981,0.01826276,
SVMP,0.003591931,0.002684226,0.001283744,0.006959261,
SVSP,0.01977489,0.0107555,0.00643649,0.03784457,
