SNAKE,GF
Agkistrodon_piscivorus,0.00E+00
Bitis_gabonica,4.00E-03
Boiga_irregularis,0.00E+00
Bothriechis_lateralis,1.80E-02
Bothriechis_schlegelii,4.90E-02
Bothrops_alternatus,2.50E-02
Bothrops_asper,9.00E-03
Bothrops_atrox,1.00E-02
Bothrops_colombiensis,2.30E-02
Bothrops_insularis,7.00E-03
Bothrops_jararacussu,1.00E-02
Bothrops_jararaca,5.00E-03
Bothrops_neuwiedi,1.50E-03
Bungarus_multicinctus,1.00E-03
Cerrophidion_godmani,6.00E-03
Crotalus_adamanteus,1.00E-03
Crotalus_durissus,4.00E-02
Crotalus_horridus,2.11E-02
Crotalus_simus,4.50E-02
Drysdalia_coronoides,2.00E-03
Echis_carinatus,0.00E+00
Echis_coloratus,0.00E+00
Echis_ocellatus,2.20E-02
Echis_pyramidum,0.00E+00
Gloydius_intermedius,3.80E-02
Hypsiglena_torquata,1.00E-04
Micrurus_corallinus,1.50E-03
Micrurus_lemniscatus,5.00E-03
Micrurus_spixii,1.10E-01
Micrurus_surinamensis,7.88E-02
Micrurus_altirostris,0.00E+00
Micrurus_fulvius,9.80E-03
Naja_atra,2.00E-03
Naja_kaouthia,3.00E-03
Ovophis_okinavensis,0.00E+00
Pantherophis_guttatus,4.20E-02
Phalotris_mertensi,0.00E+00
Philodryas_olfersii,0.00E+00
Protobothrops_flavoviridis,9.60E-03
Sistrurus_catenatus,6.67E-02
Thamnodynastes_strigatus,9.00E-03
Opheodrys_aestivus,5.71E-02
Dispholidus_typus,1.00E-03
