SNAKE,PLA2
Agkistrodon_piscivorus,3.20E-01
Bitis_gabonica,3.20E-01
Boiga_irregularis,0.00E+00
Bothriechis_lateralis,3.00E-02
Bothriechis_schlegelii,1.00E-01
Bothrops_alternatus,1.00E-02
Bothrops_asper,1.80E-01
Bothrops_atrox,1.50E-01
Bothrops_colombiensis,3.00E-01
Bothrops_insularis,5.00E-02
Bothrops_jararacussu,3.50E-01
Bothrops_jararaca,2.00E-02
Bothrops_neuwiedi,2.60E-01
Bungarus_multicinctus,3.00E-02
Cerrophidion_godmani,8.00E-02
Crotalus_adamanteus,0.00E+00
Crotalus_durissus,0.00E+00
Crotalus_horridus,8.00E-02
Crotalus_simus,1.20E-01
Drysdalia_coronoides,0.00E+00
Echis_carinatus,8.00E-02
Echis_coloratus,5.00E-02
Echis_ocellatus,5.00E-02
Echis_pyramidum,2.10E-01
Gloydius_intermedius,1.00E-01
Hypsiglena_torquata,5.00E-02
Micrurus_corallinus,3.80E-01
Micrurus_lemniscatus,1.70E-01
Micrurus_spixii,3.60E-01
Micrurus_surinamensis,2.60E-01
Micrurus_altirostris,5.00E-02
Micrurus_fulvius,6.10E-01
Naja_atra,1.00E-02
Naja_kaouthia,1.40E-01
Ovophis_okinavensis,1.00E-02
Pantherophis_guttatus,5.20E-01
Phalotris_mertensi,1.00E-02
Philodryas_olfersii,0.00E+00
Protobothrops_flavoviridis,3.20E-01
Sistrurus_catenatus,2.80E-01
Thamnodynastes_strigatus,0.00E+00
